Id	Request	Normalized Score	score
1441	Thanks for your answer. Could you expand on what 2 hot wires are? Does that mean 2 live wires?	1.064095922	0.93576173
234951	"Hmm, page says you are unavailable right now. This means you wont be fixing up <url> any time soon?"	-0.603923806	0.194137937
6450523	Are you sure you actually need to implement your own iterators? Isn't `typedef typename std::vector<T>::iterator iterator;` good enough?	-0.104917704	0.440428685
3665290	Please describe the problem itself.  What can be the obstacles to assigning a free guest to a free motorcycle?	0.884024306	0.896685978
4603	"Sorry, I have to ask: is Taxonomy module enabled?"	-0.284685815	0.342116366
563032	I don't think anybody wants the stale uninformative old Victorian results infoboxes. Can you gain consensus before deviating?	-0.571689391	0.207050194
6946983	"Looking over your pastebin code, actually, this seems like a problem: `UnHit = [CoordList[0]]`. Should the `0` be a `:`?"	0.237394522	0.632745995
3136	What exactly is your concern? Is it the fact that you can't reach the shifter with your hands on the bars? Or the fact that it's not indexed? Or something else?	-0.816812889	0.121630314
34089	"... then you have to at least meet me half-way. For instance, ""''<url>'' described the episode as displaying ""an exhilarating flair for rapid change of comic gear"" and made commented positively on the scene."" Can you see the problem here?"	-1.415059814	0.021613291
124943	So I think it's better research one by one and decide which one is common name (use). What is your opinion ?	0.308633313	0.670359017
279324	"First, the ""best wikipedia editor"", then the ""august Paul"". Gosh, ain't you blushing under that hat?"	-0.084092693	0.452189126
5887	Are your links stuffed on purpose?  Your CodingHorror link points to couchdb.org?	0.092454877	0.552538858
9097	"'Best' is rather subjective. Do you mean easiest to use, fastest, or most elegant?"	0.624027162	0.813660756
6170140	it was a joke. why so serious?	-1.93448149	0.002858861
8518	Really? Could you please tell us how to compute the maximum of $n$ $n$-bit numbers in AC$^0$?	0.097620418	0.555455776
2077543	You have change the intent of the question considerably. Can you post a new code example to show the problem?	0.845979286	0.886580543
624021	Are you trying to help him milk the publicity over the WR incident? if it ends up on google with lots of nns why would that matter?	-1.033756415	0.069865315
3831973	what php version are you running? can't you use json_decode($json) and work with array?	-0.272521755	0.348520908
71498	Who inherits the chiefship of <url> now? Does ''legitimatio per subsequens matrimonium'' apply?	-0.157771031	0.410839039
2110	"Hyphenation in English is a pain (and worth a PhD thesis or two) but I remember learning the Castillian hyphenation rules in school as a child, so it would seem to be much simpler (unless I'm missing something, of course).  Is hyphenation in Asturian all that different from Castillian?"	-0.554713038	0.214049984
11668	Where would I find paramount crystals???	0.110800889	0.562884668
565696	Oh dear. Does that mean it's too difficult a read for Wiki?	0.272729706	0.651588951
6107808	"@marknt15: Sounds like a poor design to mix ""arbitrary XML-like tags"" with real HTML. Where are you putting this text, that the HTML is dangerous but the arbitrary tags are not?"	-0.385863612	0.29073673
3417877	Are you looking for 3d models? Or 3d looking 2d images?	0.108286198	0.561468944
2213	That's a very appealing recipe by the way. Do you have a cast iron waffle iron? What are you using to cook them?	1.067246967	0.936325358
6679831	`self` is reserved? Are you sure about that?	-0.44596438	0.262032469
4696659	"Apparently, you correctly answered your own question: The watch window gets the value of a variable by calling its `ToString` method. So, what's your *actual* question?"	-1.261382288	0.035774693
402829	"What do you suggest we do? Since it looks like Gaddafi may retake Ras Lanuf in a day or so and there has been fighting there for the last four days, should we create an article named Second battle of Ras Lanuf or should we reopen the old one and say when the rebels took it it was phase one and now, two days later, it's phase two?"	0.133101651	0.57540233
444772	"I plan on getting the page up at some point this weekend, no latter than Monday though for obvious reasons. Why do you ask?"	0.123574794	0.570063338
3514	Mac OS X Server comes with an FTP server built in.  Is there something specific you're looking for that it doesn't do?	0.053947312	0.530715111
1806554	"Also, by the way: there is no such operating system as ""window XP 2003"".  Do you mean *Microsoft Windows XP* (a desktop operating system released in 2002) or *Microsoft Windows 2003 Server* (a server operating system released in 2003)?"	0.026189565	0.514922411
447235	"FYI, I found a unit representative, I think, see <url>. I directed him to your draft for the military reps, would you mind supporting him if you need, I am kindof wrapped up in several different things off wiki and on?"	1.054885297	0.934091979
1108995	Which version of Perl? Is it a system Perl?	0.125302605	0.57103261
1754120	"Is it homework? Also, in what language are you trying to implement this?"	-0.269608409	0.350061339
6998769	Truncated in DB max size 64 KB. How can I increase the max length?	0.18423311	0.603797991
